,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date,name,final_volume
26,250.0,252.88,246.99,251.65,23681885.0,252.88,246.99,251.65,250.0,23681885.0,BABA,XNYS,2021-01-19 00:00:00+00:00,Alibaba Group Holding Ltd,23681885.0
25,267.5,269.0,262.7,265.49,44640838.0,269.0,262.7,265.49,267.5,44640838.0,BABA,XNYS,2021-01-20 00:00:00+00:00,Alibaba Group Holding Ltd,44640838.0
24,264.13,264.6,257.9,260.0,20709883.0,264.6,257.9,260.0,264.13,20709883.0,BABA,XNYS,2021-01-21 00:00:00+00:00,Alibaba Group Holding Ltd,20709883.0
23,256.8,260.33,255.5,258.62,13518247.0,260.33,255.5,258.62,256.8,13518247.0,BABA,XNYS,2021-01-22 00:00:00+00:00,Alibaba Group Holding Ltd,13518247.0
22,263.62,265.2,257.85,261.38,19478552.0,265.2,257.85,261.38,263.62,19478552.0,BABA,XNYS,2021-01-25 00:00:00+00:00,Alibaba Group Holding Ltd,19478552.0
21,263.8,266.0,261.12,265.92,14681226.0,266.0,261.12,265.92,263.8,14681226.0,BABA,XNYS,2021-01-26 00:00:00+00:00,Alibaba Group Holding Ltd,14681226.0
20,265.13,265.92,259.95,260.25,16050392.0,265.92,259.95,260.25,265.13,16050392.0,BABA,XNYS,2021-01-27 00:00:00+00:00,Alibaba Group Holding Ltd,16050392.0
19,259.17,261.57,257.33,260.76,10244931.0,261.57,257.33,260.76,259.17,10244931.0,BABA,XNYS,2021-01-28 00:00:00+00:00,Alibaba Group Holding Ltd,10244931.0
18,256.03,258.9,252.3,253.83,14692989.0,258.9,252.3,253.83,256.03,14692989.0,BABA,XNYS,2021-01-29 00:00:00+00:00,Alibaba Group Holding Ltd,14692989.0
17,258.8,265.0,255.195,264.69,15289300.0,265.0,255.195,264.69,258.8,15289300.0,BABA,XNYS,2021-02-01 00:00:00+00:00,Alibaba Group Holding Ltd,15289300.0
16,264.57,265.0,254.04,254.5,29056770.0,265.0,254.04,254.5,264.57,29056770.0,BABA,XNYS,2021-02-02 00:00:00+00:00,Alibaba Group Holding Ltd,29056770.0
